ri modes cells dofs lambdanorm lambda1  lambda2 lambda3 lambda4 lambda5 lambda6 lambda7 lambda8 lambda9 lambda10 lambda11 lambda12 lambda13 lambda14 lambda15 lambda16 lambda17 lambda18 lambda19 lambda20 lambda21 lambda22 lambda23 lambda24 lambda25 lambda26 lambda27 lambda28 lambda29 lambda30 lambda31 lambda32 lambda33 lambda34 lambda35 lambda36 lambda37 lambda38 lambda39 lambda40 lambda41 lambda42 lambda43 lambda44 lambda45 lambda46 lambda47 lambda48
0.1 1 10315 21520 154 -6.292e+01 -3.104e-01 -4.301e-01 -6.281e+01 nan nan nan nan nan nan nan nan nan nan nan nan -6.361e+01 3.194e-01 4.892e-01 -6.219e+01 nan nan nan nan nan nan nan nan nan nan nan nan -6.197e+01 4.943e-02 -1.012e-03 -6.372e+01 nan nan nan nan nan nan nan nan nan nan nan nan
0.1 2 10351 21592 154 -6.292e+01 -3.104e-01 -4.303e-01 -6.281e+01 -5.737e-05 2.256e-04 1.509e-04 -5.063e-05 nan nan nan nan nan nan nan nan -6.361e+01 3.193e-01 4.892e-01 -6.219e+01 1.859e-04 -4.215e-05 -7.998e-05 -3.153e-05 nan nan nan nan nan nan nan nan -6.197e+01 4.942e-02 -9.655e-04 -6.372e+01 9.518e-05 -1.474e-04 -5.155e-05 7.342e-05 nan nan nan nan nan nan nan nan
0.1 3 10351 21592 154 -6.292e+01 -3.104e-01 -4.303e-01 -6.281e+01 -5.737e-05 2.256e-04 1.509e-04 -5.063e-05 4.419e-05 -6.648e-06 -6.132e-06 -4.436e-05 nan nan nan nan -6.361e+01 3.193e-01 4.892e-01 -6.219e+01 1.859e-04 -4.215e-05 -7.998e-05 -3.153e-05 4.475e-05 -3.624e-07 4.509e-07 -4.258e-05 nan nan nan nan -6.197e+01 4.942e-02 -9.655e-04 -6.372e+01 9.518e-05 -1.474e-04 -5.155e-05 7.342e-05 4.812e-05 -6.128e-06 -2.994e-06 -3.401e-05 nan nan nan nan
0.1 4 10351 21592 154 -6.292e+01 -3.104e-01 -4.303e-01 -6.281e+01 -5.737e-05 2.256e-04 1.509e-04 -5.063e-05 4.419e-05 -6.648e-06 -6.132e-06 -4.436e-05 -1.989e-06 -1.797e-06 7.508e-08 1.053e-07 -6.361e+01 3.193e-01 4.892e-01 -6.219e+01 1.859e-04 -4.215e-05 -7.998e-05 -3.153e-05 4.475e-05 -3.624e-07 4.509e-07 -4.258e-05 2.482e-06 -1.636e-06 -1.486e-07 -2.625e-09 -6.197e+01 4.942e-02 -9.655e-04 -6.372e+01 9.518e-05 -1.474e-04 -5.155e-05 7.342e-05 4.812e-05 -6.128e-06 -2.994e-06 -3.401e-05 2.462e-06 1.642e-06 1.395e-07 -5.835e-08 
0.2 1 10918 23154 41.4 -1.697e+01 -4.912e-01 -5.125e-01 -1.681e+01 nan nan nan nan nan nan nan nan nan nan nan nan -1.771e+01 4.739e-01 5.273e-01 -1.606e+01 nan nan nan nan nan nan nan nan nan nan nan nan -1.579e+01 3.725e-02 4.674e-02 -1.785e+01 nan nan nan nan nan nan nan nan nan nan nan nan
0.2 2 10918 23154 41.4 -1.697e+01 -4.911e-01 -5.124e-01 -1.681e+01 -4.025e-04 -4.130e-05 -5.004e-04 -3.057e-04 nan nan nan nan nan nan nan nan -1.771e+01 4.738e-01 5.273e-01 -1.606e+01 1.243e-04 6.002e-05 -4.755e-05 1.136e-04 nan nan nan nan nan nan nan nan -1.579e+01 3.728e-02 4.671e-02 -1.785e+01 2.065e-04 -3.217e-04 5.904e-05 -3.012e-04 nan nan nan nan nan nan nan nan
0.2 3 10918 23154 41.4 -1.697e+01 -4.911e-01 -5.124e-01 -1.681e+01 -4.025e-04 -4.127e-05 -5.004e-04 -3.057e-04 2.850e-04 -2.396e-04 -2.011e-04 -2.648e-04  nan nan nan nan -1.771e+01 4.738e-01 5.273e-01 -1.606e+01 1.243e-04 6.004e-05 -4.751e-05 1.136e-04 1.376e-04 2.474e-06 -2.578e-06 -7.903e-05  nan nan nan nan -1.579e+01 3.728e-02 4.671e-02 -1.785e+01 2.065e-04 -3.217e-04 5.906e-05 -3.011e-04 3.921e-05 -1.501e-04 -1.555e-04 -4.296e-05 nan nan nan nan
0.2 4 10918 23154 41.4 -1.697e+01 -4.911e-01 -5.124e-01 -1.681e+01 -4.025e-04 -4.127e-05 -5.004e-04 -3.057e-04 2.850e-04 -2.396e-04 -2.011e-04 -2.648e-04 -1.997e-05 6.265e-06 4.395e-06 2.247e-05 -1.771e+01 4.738e-01 5.273e-01 -1.606e+01 1.243e-04 6.004e-05 -4.751e-05 1.136e-04 1.376e-04 2.474e-06 -2.578e-06 -7.903e-05 3.828e-07 8.961e-06 6.498e-06 -3.582e-06 -1.579e+01 3.728e-02 4.671e-02 -1.785e+01 2.065e-04 -3.217e-04 5.906e-05 -3.011e-04 3.921e-05 -1.501e-04 -1.555e-04 -4.296e-05 1.250e-05 -8.621e-06 -8.661e-06 -1.160e-05
0.05 1 10258 21292 617 -2.520e+02 5.341e-03 7.132e-03 -2.520e+02 nan nan nan nan nan nan nan nan nan nan nan nan -2.520e+02 -5.949e-03 -8.418e-03 -2.521e+02 nan nan nan nan nan nan nan nan nan nan nan nan -2.521e+02 1.687e-04 8.427e-04 -2.520e+02 nan nan nan nan nan nan nan nan nan nan nan nan
0.05 2 10258 21292 617 -2.520e+02 5.341e-03 7.132e-03 -2.520e+02 6.153e-04 -5.828e-04 8.577e-05 4.955e-05 nan nan nan nan nan nan nan nan -2.520e+02 -5.949e-03 -8.418e-03 -2.521e+02 -6.612e-04 -6.251e-04 -2.695e-05 -6.950e-06 nan nan nan nan nan nan nan nan -2.521e+02 1.687e-04 8.427e-04 -2.520e+02 -6.769e-04 5.958e-04 3.879e-06 1.386e-05 nan nan nan nan nan nan nan nan
