ri  modes   cells     dofs  u_L2_norm   l2d     u_Linfty_norm infdif u_H1_norm h1dif lambda_norm lambda1 lambda2 lambda3 lambda4 lambda5 lambda6 lambda7 lambda8 lambda9 lambda10 lambda11 lambda12 lambda13 lambda14 lambda15 lambda16 lambda17 lambda18 lambda19 lambda20 lambda21 lambda22 lambda23 lambda24 lambda25 lambda26 lambda27 lambda28 lambda29 lambda30 lambda31 lambda32
0.1   2       10849   22436 0.05095     0.05    0.1115 -0.03 0.5155 0.03 125 -63.14 0.234 -0.03331 -61.62 NA NA NA NA NA NA NA NA NA NA NA NA -63.23 -0.2732 0.001397 -61.62 NA NA NA NA NA NA NA NA NA NA NA NA
0.1   4       10690   22110 0.05095     0.05    0.1115 -0.03 0.5155 0.03 125 -63.14 0.234 -0.03339 -61.62 -0.0003031 5.922e-05 3.437e-05 0.0002137 NA NA NA NA NA NA NA NA -63.23 -0.2732 0.001498 -61.62 0.0003319 4.003e-05 2.74e-05 -0.0001912 NA NA NA NA NA NA NA NA
0.1   6       10690   22110 0.05095     0.05    0.1115 -0.03 0.5155 0.03 125 -63.14 0.234 -0.03339 -61.62 -0.0003031 5.922e-05 3.437e-05 0.0002137 3.909e-05 -1.973e-06 2.161e-06 -4.525e-05 NA NA NA NA -63.23 -0.2732 0.001498 -61.62 0.0003319 4.003e-05 2.74e-05 -0.0001912 4.682e-05 1.31e-06 -2.592e-06 -4.543e-05 NA NA NA NA
0.1   8       10690   22110 0.05095     0.05    0.1115 -0.03 0.5155 0.03 125 -63.14 0.234 -0.03339 -61.62 -0.0003031 5.922e-05 3.437e-05 0.0002137 3.909e-05 -1.973e-06 2.161e-06 -4.525e-05 -1.864e-06 -1.731e-06 7.36e-08 -5.954e-09 -63.23 -0.2732 0.001498 -61.62 0.0003319 4.003e-05 2.74e-05 -0.0001912 4.682e-05 1.31e-06 -2.592e-06 -4.543e-05 2.451e-06 -1.592e-06 -1.763e-07 -1.885e-08
0.2   2       10960   22920 0.08424     0.03    0.128 0.01 0.5364 0.02   32.8 -17.26 0.1732 0.0331 -15.4 NA NA NA NA NA NA NA NA NA NA NA NA -17.36 -0.2177 -0.06471 -15.42 NA NA NA NA NA NA NA NA NA NA NA NA
0.2   4       10960   22920 0.08423     0.03    0.128 0.01 0.5364 0.02   32.8 -17.26 0.1731 0.03308 -15.4 -4.537e-05 9.667e-05 4.87e-05 -0.0002562 NA NA NA NA NA NA NA NA -17.36 -0.2177 -0.06469 -15.42 2.686e-05 0.0001128 2.805e-05 0.0002707 NA NA NA NA NA NA NA NA
0.2   6       10960   22920 0.08423     0.03    0.128 0.01 0.5364 0.02   32.8 -17.26 0.1731 0.03308 -15.4 -4.541e-05 9.667e-05 4.87e-05 -0.0002562 0.0002335 2.78e-06 -8.221e-06 -0.0002103 NA NA NA NA -17.36 -0.2177 -0.06469 -15.42 2.69e-05 0.0001128 2.806e-05 0.0002707 0.0002469 -2.173e-06 -3.013e-06 -0.0001845 NA NA NA NA
0.2   8       10960   22920 0.08423     0.03    0.128 0.01 0.5364 0.02   32.8 -17.26 0.1731 0.03308 -15.4 -4.541e-05 9.667e-05 4.87e-05 -0.0002562 0.0002335 2.78e-06 -8.221e-06 -0.0002103 -6.069e-06 3.32e-06 4.373e-06 5.315e-06 -17.36 -0.2177 -0.06469 -15.42 2.69e-05 0.0001128 2.806e-05 0.0002707 0.0002469 -2.173e-06 -3.013e-06 -0.0001845 5.206e-06 3.698e-06 3.967e-06 -6.709e-06
0.05  2       10807   22284 0.03003     0.09    0.1085 0.07 0.5157 0.06 503 -251.5 -0.003178 0.0009122 -251.5 NA NA NA NA NA NA NA NA NA NA NA NA -251.5 0.00333 -0.0007982 -251.5 NA NA NA NA NA NA NA NA NA NA NA NA
0.05  4       10807   22284 0.03003     0.09    0.1085 0.07 0.5157 0.06 503 -251.5 -0.003178 0.0009122 -251.5 0.0005704 -0.0006119 6.093e-05 9.409e-05 NA NA NA NA NA NA NA NA -251.5 0.00333 -0.0007982 -251.5 -0.0006346 -0.0006112 -8.813e-06 -3.539e-05 NA NA NA NA NA NA NA NA
0.05  6       10807   22284 0.03003     0.09    0.1085 0.07 0.5157 0.06 503 -251.5 -0.003178 0.0009122 -251.5 0.0005704 -0.0006119 6.093e-05 9.409e-05 2.732e-05 -1.258e-06 1.254e-06 -2.731e-05 NA NA NA NA -251.5 0.00333 -0.0007982 -251.5 -0.0006346 -0.0006112 -8.813e-06 -3.539e-05 3.323e-05 1.894e-06 -2.436e-06 -2.985e-05 NA NA NA NA
0.05  8       10807   22284 0.03003     0.09    0.1085 0.07 0.5157 0.06 503 -251.5 -0.003178 0.0009122 -251.5 0.0005704 -0.0006119 6.093e-05 9.409e-05 2.732e-05 -1.258e-06 1.254e-06 -2.731e-05 1.272e-06 1.273e-06 7.883e-08 -7.834e-08 -251.5 0.00333 -0.0007982 -251.5 -0.0006346 -0.0006112 -8.813e-06 -3.539e-05 3.323e-05 1.894e-06 -2.436e-06 -2.985e-05 -1.437e-06 1.389e-06 3.535e-08 -8.58e-08
